estimate,lowci,highci,true_offset,pass,distance,obs,sd,estimator,ci
344.3715667,334.4269301,354.3314809,361.38,FALSE,-17.00843327,50,40,belitz,19.90455081
263.0694357,256.4941358,270.9038575,361.38,FALSE,-98.31056428,50,40,belitz,14.40972171
309.8938405,303.0080837,321.150475,361.38,FALSE,-51.48615945,50,40,belitz,18.14239129
299.9947414,295.6322584,306.4090993,361.38,FALSE,-61.38525863,50,40,belitz,10.7768409
370.2333964,320.2799773,377.7805536,361.38,TRUE,8.85339637,50,40,belitz,57.50057623
303.1181625,291.1704989,315.2928432,361.38,FALSE,-58.26183754,50,40,belitz,24.12234426
319.5436328,307.2934203,329.9179002,361.38,FALSE,-41.83636719,50,40,belitz,22.62447994
333.6008549,327.9305088,340.4820433,361.38,FALSE,-27.77914509,50,40,belitz,12.55153453
347.5147882,287.986264,365.1693915,361.38,TRUE,-13.86521178,50,40,belitz,77.18312759
317.565399,315.0185941,319.2257824,361.38,FALSE,-43.81460101,50,40,belitz,4.207188332
308.0663553,286.8715327,323.2370648,361.38,FALSE,-53.31364468,50,40,belitz,36.36553211
329.4665113,319.689613,337.8712607,361.38,FALSE,-31.91348867,50,40,belitz,18.18164761
317.354789,286.2704474,326.8117103,361.38,FALSE,-44.02521101,50,40,belitz,40.54126284
375.9590141,362.9336277,380.3579,361.38,FALSE,14.57901412,50,40,belitz,17.42427224
292.3874332,282.4923803,297.9027101,361.38,FALSE,-68.99256682,50,40,belitz,15.41032979
324.4385306,313.0627817,339.6446586,361.38,FALSE,-36.94146935,50,40,belitz,26.58187692
279.3252279,269.1998932,289.4050248,361.38,FALSE,-82.05477212,50,40,belitz,20.20513162
283.4295073,275.4698118,288.8322537,361.38,FALSE,-77.95049271,50,40,belitz,13.36244193
315.5298689,310.8460252,325.5334844,361.38,FALSE,-45.85013115,50,40,belitz,14.68745921
327.4989603,324.4788464,344.1747864,361.38,FALSE,-33.88103973,50,40,belitz,19.69594004
280.3215052,273.8296914,289.7907745,361.38,FALSE,-81.05849475,50,40,belitz,15.96108314
300.3469415,289.8036739,313.2921494,361.38,FALSE,-61.03305848,50,40,belitz,23.48847546
290.2144431,274.1138893,295.5114066,361.38,FALSE,-71.1655569,50,40,belitz,21.3975173
365.97271,362.7204842,374.9784732,361.38,FALSE,4.592710032,50,40,belitz,12.25798898
358.5635887,356.6287512,364.4510014,361.38,TRUE,-2.816411316,50,40,belitz,7.822250179
294.7121312,288.670918,299.0352867,361.38,FALSE,-66.66786883,50,40,belitz,10.36436865
295.4166315,276.8111405,303.8417233,361.38,FALSE,-65.96336852,50,40,belitz,27.03058283
218.572543,217.6144915,227.5283411,238.1,FALSE,-19.52745703,10,10,pearse,9.913849661
212.2417977,211.1937426,221.030184,238.1,FALSE,-25.85820231,10,10,pearse,9.836441417
222.5035465,215.7283733,250.3988733,238.1,TRUE,-15.59645351,10,10,pearse,34.67050001
206.9874991,205.9309897,216.219035,238.1,FALSE,-31.11250095,10,10,pearse,10.28804536
235.2122411,224.0223856,287.3860913,238.1,TRUE,-2.887758903,10,10,pearse,63.3637058
241.3903171,227.0638038,311.1390285,238.1,TRUE,3.290317109,10,10,pearse,84.07522469
213.6793694,211.5518629,225.4841383,238.1,FALSE,-24.42063055,10,10,pearse,13.93227541
228.2016993,220.0696896,262.6274668,238.1,TRUE,-9.898300691,10,10,pearse,42.55777717
216.2489733,214.3806166,227.6278347,238.1,FALSE,-21.85102666,10,10,pearse,13.24721808
222.5602672,218.9874192,241.2800408,238.1,TRUE,-15.53973278,10,10,pearse,22.29262152
227.7592934,219.5014526,265.2515941,238.1,TRUE,-10.3407066,10,10,pearse,45.75014159
228.4352395,220.7780356,261.4506109,238.1,TRUE,-9.66476054,10,10,pearse,40.67257522
211.3494874,209.0463115,224.2306801,238.1,FALSE,-26.75051258,10,10,pearse,15.1843686
214.7608915,212.4956726,226.547542,238.1,FALSE,-23.33910848,10,10,pearse,14.0518694
219.9188056,212.0639441,253.5811911,238.1,TRUE,-18.18119437,10,10,pearse,41.51724703
225.490479,218.8609456,271.070128,238.1,TRUE,-12.60952099,10,10,pearse,52.2091824
221.7000276,215.925852,245.8415022,238.1,TRUE,-16.39997238,10,10,pearse,29.91565023
217.6228498,213.5667557,234.565441,238.1,FALSE,-20.4771502,10,10,pearse,20.99868529
240.6950136,227.9069201,303.026771,238.1,TRUE,2.595013595,10,10,pearse,75.11985084
205.4527648,203.4899745,215.8425535,238.1,FALSE,-32.64723522,10,10,pearse,12.35257899
220.881383,213.7053926,250.7190326,238.1,TRUE,-17.218617,10,10,pearse,37.01363997
222.246947,214.6230212,257.8830938,238.1,TRUE,-15.85305299,10,10,pearse,43.26007267
