estimate,lowci,highci,true_onset,pass,distance,obs,sd,estimator,ci
136.0953521,129.9555574,168.4178598,119.92,FALSE,16.17535212,50,20,belitz,38.46230247
163.8190992,159.7860081,166.1690619,119.92,FALSE,43.89909918,50,20,belitz,6.383053838
158.2970353,154.6422017,162.341717,119.92,FALSE,38.3770353,50,20,belitz,7.699515301
165.5192378,162.9328911,172.0138659,119.92,FALSE,45.59923783,50,20,belitz,9.080974849
161.4045602,157.6043863,163.5548508,119.92,FALSE,41.48456017,50,20,belitz,5.950464439
156.2796689,149.9972851,166.898944,119.92,FALSE,36.35966885,50,20,belitz,16.90165887
171.9609463,165.1277712,176.4451281,119.92,FALSE,52.04094625,50,20,belitz,11.31735684
154.0128964,147.8945826,161.1386367,119.92,FALSE,34.09289643,50,20,belitz,13.24405414
141.3604719,136.8849088,146.9888579,119.92,FALSE,21.44047194,50,20,belitz,10.10394902
115.1884086,111.8636563,116.7877359,119.92,FALSE,-4.731591385,50,20,belitz,4.924079598
162.9865437,160.0240956,170.0263659,119.92,FALSE,43.06654365,50,20,belitz,10.00227033
161.3775241,158.8750245,167.2495655,119.92,FALSE,41.45752407,50,20,belitz,8.374541048
159.182101,154.426636,171.9985419,119.92,FALSE,39.26210099,50,20,belitz,17.57190592
149.2045203,143.9036118,168.7968236,119.92,FALSE,29.28452032,50,20,belitz,24.89321177
160.6538258,156.2247215,169.8095601,119.92,FALSE,40.73382584,50,20,belitz,13.58483868
144.8346825,138.0280863,174.5930673,119.92,FALSE,24.91468247,50,20,belitz,36.56498097
101.8807414,93.16818354,129.8528116,35.88,FALSE,66.00074141,50,40,belitz,36.68462811
96.77239652,92.1155261,109.7077288,35.88,FALSE,60.89239652,50,40,belitz,17.59220269
101.5292083,90.55753239,119.7927106,35.88,FALSE,65.64920827,50,40,belitz,29.23517825
-4.307902715,-12.05809241,6.808458529,35.88,FALSE,-40.18790271,50,40,belitz,18.86655094
21.00883413,4.663539518,45.3563063,35.88,TRUE,-14.87116587,50,40,belitz,40.69276678
94.28442859,83.30765904,120.8677504,35.88,FALSE,58.40442859,50,40,belitz,37.56009139
164.2850411,163.0048737,170.7665627,35.88,FALSE,128.4050411,50,40,belitz,7.761688978
103.175383,94.88614961,132.8279434,35.88,FALSE,67.29538296,50,40,belitz,37.94179375
104.7540026,96.66201587,121.1810046,35.88,FALSE,68.87400257,50,40,belitz,24.51898877
128.9776602,126.2584029,129.8238491,35.88,FALSE,93.09766021,50,40,belitz,3.565446182
130.8467211,127.2668626,142.3771697,35.88,FALSE,94.96672108,50,40,belitz,15.11030705
126.2032482,120.9707275,161.7591681,35.88,FALSE,90.32324816,50,40,belitz,40.78844059
91.39861079,71.96045375,120.0055085,35.88,FALSE,55.51861079,50,40,belitz,48.04505472
26.45631393,14.18430627,137.696707,35.88,TRUE,-9.423686073,50,40,belitz,123.5124007
124.5805109,116.6036564,129.2459912,35.88,FALSE,88.70051088,50,40,belitz,12.64233478
109.5380052,103.8493329,124.3846008,35.88,FALSE,73.65800525,50,40,belitz,20.53526791
112.6941186,104.9124177,136.5708942,35.88,FALSE,76.81411862,50,40,belitz,31.65847656
111.0113792,101.7516348,130.0254164,35.88,FALSE,75.13137918,50,40,belitz,28.2737816
106.8510662,92.68207786,131.8256142,35.88,FALSE,70.97106619,50,40,belitz,39.14353636
94.69600505,81.78903858,105.4177863,35.88,FALSE,58.81600505,50,40,belitz,23.6287477
121.7372204,108.2063922,129.8813666,35.88,FALSE,85.85722045,50,40,belitz,21.67497444
136.6618832,129.883207,139.5275613,35.88,FALSE,100.7818832,50,40,belitz,9.644354308
112.6978538,103.2798054,124.0048563,35.88,FALSE,76.81785378,50,40,belitz,20.72505084
140.7680622,136.9780245,146.0723014,35.88,FALSE,104.8880622,50,40,belitz,9.094276844
30.83392357,25.17333593,36.29962454,35.88,TRUE,-5.046076434,50,40,belitz,11.1262886
156.7890617,153.541112,159.7513142,35.88,FALSE,120.9090617,50,40,belitz,6.210202194
