polyids,year,weib10,high_ci.x,low_ci.x,SciName,left,bottom,right,top,long_centroid,lat_centroid,onset,high_ci.y,low_ci.y,,,,,,
9,2018,146.5810338,168.5778297,122.341842,Asterocampa celtis,-93,38,-92,39,-92.5,38.5,142.691539,146.9619724,118.1335432,,,,,,
21,2017,160.2776337,204.278668,111.4367383,Asterocampa celtis,-91,38,-90,39,-90.5,38.5,68.25720524,105.1374021,-83.80185709,,,,,,
21,2018,155.0034023,184.6420929,127.5041978,Asterocampa celtis,-91,38,-90,39,-90.5,38.5,127.7452518,140.331534,84.39074068,,,,,,
43,2017,147.5779178,177.7815159,119.2257024,Asterocampa celtis,-87,36,-86,37,-86.5,36.5,125.2694317,136.5822258,82.29383862,,,,,,
43,2018,185.2504685,199.5975081,165.9520174,Asterocampa celtis,-87,36,-86,37,-86.5,36.5,128.9483869,141.6619726,87.03366748,,,,,,
58,2018,168.5984218,187.0596191,148.7493109,Asterocampa celtis,-85,39,-84,40,-84.5,39.5,140.837456,149.4005127,116.5956238,,,,,,
65,2018,169.5877727,198.4881542,141.906579,Asterocampa celtis,-84,40,-83,41,-83.5,40.5,144.6158162,156.9815853,98.02066878,,,,,,
6,2015,146.9185217,165.2976028,132.1046862,Pieris rapae,-94,41,-93,42,-93.5,41.5,149.7765942,151.9780735,139.1633108,,,,,,
6,2016,132.7585348,149.5142607,115.5310961,Pieris rapae,-94,41,-93,42,-93.5,41.5,121.4964344,126.8715695,103.1538337,,,,,,
6,2017,111.6571266,151.2398331,81.17971958,Pieris rapae,-94,41,-93,42,-93.5,41.5,93.17947169,101.8250168,57.07767573,,,,,,
6,2018,161.1121613,179.0409194,142.3760042,Pieris rapae,-94,41,-93,42,-93.5,41.5,151.2954768,154.9075159,138.1821678,,,,,,
21,2018,177.6931796,218.8972551,125.0053276,Pieris rapae,-91,38,-90,39,-90.5,38.5,58.19474256,99.81013985,-147.2107387,,,,,,
36,2017,132.6037562,167.7499495,79.16604577,Pieris rapae,-89,41,-88,42,-88.5,41.5,43.39758301,90.40555999,-156.5510898,,,,,,
36,2018,131.8742637,161.4953962,100.6257099,Pieris rapae,-89,41,-88,42,-88.5,41.5,87.41169879,103.6969438,36.11708201,,,,,,
40,2018,229.9987402,242.3907307,197.2017681,Pieris rapae,-88,39,-87,40,-87.5,39.5,113.7922863,121.1052711,-62.9668404,,,,,,
42,2016,144.7497143,182.0730759,107.5613433,Pieris rapae,-88,41,-87,42,-87.5,41.5,52.60146047,82.64104118,-41.21868516,,,,,,
42,2017,163.5689334,184.0444063,134.6810573,Pieris rapae,-88,41,-87,42,-87.5,41.5,87.8763057,102.4919184,38.5543608,,,,,,
42,2018,165.5831243,191.1545255,99.36640158,Pieris rapae,-88,41,-87,42,-87.5,41.5,-37.50801367,NA,NA,,,,,,
46,2017,168.8401866,182.0184635,154.3333631,Pieris rapae,-87,39,-86,40,-86.5,39.5,174.9996986,178.955655,157.6912349,,,,,,
46,2018,137.2809925,159.9090965,95.44279086,Pieris rapae,-87,39,-86,40,-86.5,39.5,75.02695584,107.0370896,-49.55592468,,,,,,
52,2017,145.3737765,191.3671621,110.8951475,Pieris rapae,-86,39,-85,40,-85.5,39.5,95.01188141,125.8622475,-31.7393553,,,,,,
58,2016,85.60167388,153.9508584,47.04722832,Pieris rapae,-85,39,-84,40,-84.5,39.5,61.87818499,76.80596263,-24.24609848,,,,,,
58,2017,127.1294715,164.1805218,76.70869455,Pieris rapae,-85,39,-84,40,-84.5,39.5,39.11610745,77.64468289,-98.60530828,,,,,,
58,2018,164.0620557,180.8421709,145.1914339,Pieris rapae,-85,39,-84,40,-84.5,39.5,96.89677792,111.1316726,44.56492716,,,,,,
66,2017,144.2544874,177.5246698,94.56570477,Pieris rapae,-84,41,-83,42,-83.5,41.5,42.20070871,87.68958589,-168.8919599,,,,,,
66,2018,134.61547,153.6306908,107.8335688,Pieris rapae,-84,41,-83,42,-83.5,41.5,120.0818306,135.4339632,48.54613048,,,,,,
71,2018,180.2860461,218.2809228,113.2071556,Pieris rapae,-83,40,-82,41,-82.5,40.5,25.66652762,79.37312655,-344.5100205,,,,,,
